url,status
https://xn--fsq.com/secure,phishing
https://microsoft.com,legitimate
https://google.com,legitimate
http://fake-paypal-login.ru,phishing
https://instagr4m.com/login,phishing
https://apple.com,legitimate
https://google.com,legitimate
https://microsoft.com,legitimate
https://apple.com,legitimate
https://github.com,legitimate
https://wikipedia.org,legitimate
https://microsoft.com,legitimate
http://win-bitcoin-free.com,phishing
http://fake-paypal-login.ru,phishing
https://shorte.st/secure-login818,phishing
http://win-bitcoin-free.com,phishing
http://fake-paypal-login.ru,phishing
https://ow.ly/secure-login873,phishing
http://win-bitcoin-free.com,phishing
https://stackoverflow.com,legitimate
http://micros0ft.com/signin.php,phishing
https://github.com,legitimate
https://github.com,legitimate
https://github.com,legitimate
https://github.com,legitimate
https://github.com,legitimate
https://adf.ly/secure-login252,phishing
http://amaz0n.com/signin.php,phishing
https://xn--r8jz4d.xn--zfr164b/secure,phishing
https://stackoverflow.com,legitimate
http://fake-paypal-login.ru,phishing
https://tinyurl.com/unlock-wallet745,phishing
https://github.com,legitimate
https://microsoft.com,legitimate
https://stackoverflow.com,legitimate
https://microsoft.com,legitimate
https://apple.com,legitimate
https://wikipedia.org,legitimate
https://github.com,legitimate
http://fake-paypal-login.ru,phishing
https://google.com,legitimate
https://is.gd/claim-prize810,phishing
https://stackoverflow.com,legitimate
https://microsoft.com,legitimate
https://buff.ly/update-billing538,phishing
https://stackoverflow.com,legitimate
https://v.gd/update-billing219,phishing
https://wikipedia.org,legitimate
http://fake-paypal-login.ru,phishing
http://fake-paypal-login.ru,phishing
http://fake-paypal-login.ru,phishing
https://microsoft.com,legitimate
https://google.com,legitimate
https://www.g00gle.com/account/verify,phishing
http://g00gle.com/signin.php,phishing
https://stackoverflow.com,legitimate
https://buff.ly/verify-account545,phishing
https://microsoft.com,legitimate
https://apple.com,legitimate
https://apple.com,legitimate
https://stackoverflow.com,legitimate
http://win-bitcoin-free.com,phishing
http://fake-paypal-login.ru,phishing
https://github.com,legitimate
